"Time","105_evt"
1590777421494,1
1590777421496,0
1590777421619,1
1590777421621,0
1590777421744,1
1590777421746,0
1590777421869,1
1590777421871,0
1590777421994,1
1590777421996,0
1590777422118,1
1590777422121,0
1590777422243,1
1590777422246,0
1590777422368,1
1590777422371,0
1590777422493,1
1590777422496,0
1590777422618,1
1590777422621,0
1590777422742,1
1590777422746,0
1590777422867,1
1590777422871,0
1590777422992,1
1590777422996,0
1590777423117,1
1590777423121,0
1590777423242,1
1590777423246,0
1590777423366,1
1590777423371,0
1590777423491,1
1590777423496,0
1590777423616,1
1590777423621,0
1590777423741,1
1590777423746,0
1590777423865,1
1590777423871,0
1590777423990,1
1590777423996,0
1590777424115,1
1590777424121,0
1590777424240,1
1590777424246,0
1590777424365,1
1590777424371,0
1590777424489,1
1590777424496,0
1590777424614,1
1590777424621,0
1590777424739,1
1590777424746,0
1590777424864,1
1590777424871,0
1590777424989,1
1590777424996,0
1590777425113,1
1590777425121,0
1590777425238,1
1590777425246,0
1590777425363,1
1590777425371,0
1590777425488,1
1590777425488,0
1590777425613,1
1590777425613,0
1590777425737,1
1590777425738,0
1590777425862,1
1590777425863,0
1590777425987,1
1590777425988,0
1590777426112,1
1590777426113,0
1590777426236,1
1590777426238,0
1590777426361,1
1590777426363,0
1590777426486,1
1590777426488,0
1590777426611,1
1590777426613,0
1590777426736,1
1590777426738,0
1590777426860,1
1590777426863,0
1590777426985,1
1590777426988,0
1590777427110,1
1590777427113,0
1590777427235,1
1590777427238,0
1590777427360,1
1590777427363,0
1590777427484,1
1590777427488,0
1590777427609,1
1590777427613,0
1590777427734,1
1590777427738,0
1590777427859,1
1590777427863,0
1590777427984,1
1590777427988,0
1590777428108,1
1590777428113,0
1590777428233,1
1590777428238,0
1590777428358,1
1590777428363,0
1590777428483,1
1590777428488,0
1590777428607,1
1590777428613,0
1590777428732,1
1590777428738,0
1590777428857,1
1590777428863,0
1590777428982,1
1590777428988,0
1590777429107,1
1590777429113,0
1590777429231,1
1590777429238,0
1590777429356,1
1590777429363,0
1590777429481,1
1590777429488,0
1590777429606,1
1590777429613,0
1590777429731,1
1590777429738,0
1590777429855,1
1590777429863,0
1590777429980,1
1590777429988,0
1590777430105,1
1590777430113,0
1590777430230,1
1590777430230,0
1590777430355,1
1590777430355,0
1590777430479,1
1590777430480,0
1590777430604,1
1590777430605,0
1590777430729,1
1590777430730,0
1590777430854,1
1590777430855,0
1590777430978,1
1590777430980,0
1590777431103,1
1590777431105,0
1590777431228,1
1590777431230,0
1590777431353,1
1590777431355,0
1590777431478,1
1590777431480,0
1590777431602,1
1590777431605,0
1590777431727,1
1590777431730,0
1590777431852,1
1590777431855,0
1590777431977,1
1590777431980,0
1590777432102,1
1590777432105,0
1590777432226,1
1590777432230,0
1590777432351,1
1590777432355,0
1590777432476,1
1590777432480,0
1590777432601,1
1590777432605,0
1590777432726,1
1590777432730,0
1590777432850,1
1590777432855,0
1590777432975,1
1590777432980,0
1590777433100,1
1590777433105,0
1590777433225,1
1590777433230,0
1590777433349,1
1590777433355,0
1590777433474,1
1590777433480,0
1590777433599,1
1590777433605,0
1590777433724,1
1590777433730,0
1590777433849,1
1590777433855,0
1590777433974,1
1590777433980,0
1590777434098,1
1590777434105,0
1590777434223,1
1590777434230,0
1590777434348,1
1590777434355,0
1590777434473,1
1590777434480,0
1590777434598,1
1590777434605,0
1590777434722,1
1590777434730,0
1590777434847,1
1590777434847,0
1590777434972,1
1590777434972,0
1590777435097,1
1590777435097,0
1590777435221,1
1590777435222,0
1590777435346,1
1590777435347,0
1590777435471,1
1590777435472,0
1590777435596,1
1590777435598,0
1590777435721,1
1590777435722,0
1590777435845,1
1590777435847,0
1590777435970,1
1590777435972,0
1590777436095,1
1590777436097,0
1590777436220,1
1590777436222,0
1590777436344,1
1590777436347,0
1590777436469,1
